Density ,GSA ,VSA ,VF ,PV ,LCD ,PLD ,UG at PS ,UV at PS 
0.59,5124.41,3048.9,0.77,1.3,7.66,5.8,3.82,25.64
0.59,4518.55,2629.61,0.73,1.24,8.18,6.46,3.85,25.62
1.66,770.9,1280,0.58,0.39,12.87,12.02,1.48,25.61
0.6,3661.25,2188.22,0.78,1.31,18.51,6.94,3.76,25.6
1.66,745.8,1237.4,0.58,0.39,12.88,12.05,1.48,25.58
0.61,3500.73,2119.32,0.75,1.23,10.13,5.37,3.74,25.58
0.81,2165.8,1759.7,0.76,0.9,10.3,9.48,2.89,25.56
1.87,1107.2,2069.7,0.61,0.37,5.98,4.76,1.33,25.55
0.88,2822.52,2475.02,0.77,0.88,6.95,5.97,2.74,25.55
0.95,1903.38,1808.24,0.73,0.76,9.28,8.68,2.52,25.55
0.49,7724.22,3807.73,0.78,1.58,6.02,5.38,4.41,25.55
0.9,1973.9,1794,0.75,0.82,19.5,6.86,2.62,25.53
1.68,930.45,1563.78,0.67,0.4,11.03,10.54,1.47,25.52
1.67,936.36,1561.42,0.67,0.4,11.11,10.69,1.48,25.52
0.54,2059.6,1107.2,0.83,1.43,21.62,12.85,4.16,25.5
1.16,2136.23,2480.16,0.7,0.61,6.42,5.21,2.08,25.5
0.88,3152.66,2782.43,0.74,0.84,6.81,5.71,2.66,25.5
1.67,922.26,1537.03,0.67,0.4,11.53,10.51,1.48,25.5
0.54,5030.45,2696.27,0.76,1.42,8.66,6.49,4.13,25.48
0.83,2071.09,1727.94,0.71,0.85,8.39,8.05,2.85,25.48
0.75,2595.3,1941.2,0.73,0.98,10,7.96,3.11,25.46
0.51,6334.68,3206.4,0.78,1.53,6.58,6.32,4.34,25.46
0.9,1985.8,1793.8,0.75,0.82,19.62,6.71,2.61,25.44
0.8,2651.05,2127.33,0.75,0.93,7.99,7.13,2.91,25.44
0.65,3118.76,2024.83,0.76,1.17,13.2,7.45,3.51,25.41
0.52,5433.79,2824.75,0.79,1.51,6.61,5.78,4.2,25.39
0.79,3147.32,2480.81,0.74,0.94,6.66,5.77,2.96,25.37
0.65,3284.9,2126.8,0.8,1.17,9.81,7.51,3.46,25.36
0.72,2177.3,1574.3,0.74,1.03,14.01,13.17,3.22,25.36
0.63,3342.8,2103.5,0.83,1.23,18.23,6.6,3.55,25.34
0.56,4016.97,2243.65,0.79,1.41,11.61,9.32,3.96,25.34
0.39,4682.41,1827.17,0.95,2.45,12.51,11.4,6.05,25.34
0.56,4066.3,2259.03,0.78,1.4,10.44,6.74,4,25.34
1.13,2254.6,2550.3,0.63,0.64,7.56,5.85,2.13,25.33
2.05,1061.35,2256.5,0.53,0.26,6.52,5.61,1.21,25.31
1.27,1967.36,2498.3,0.75,0.59,6.84,5.83,1.92,25.3
0.36,3757.23,1351.78,0.96,2.67,15.27,14.12,6.51,25.29
0.7,2914.93,2025.84,0.7,1.01,13.2,7.45,3.27,25.24
0.62,3405.8,2106.1,0.8,1.23,11,7.64,3.61,25.22
0.91,1987.2,1793.6,0.76,0.82,19.59,6.72,2.56,25.22
0.53,4683.21,2502.84,0.79,1.48,7.41,5.96,4.11,25.21
0.76,3335.7,2538.9,0.77,0.98,8.24,5.76,3,25.2
